"","sub","item","cond","seq","trialStart","trialEnd","sound","sound_type","regionS","regionE","regionN1","tBnd","tSFIX","ISI","nextFlag","delBnd","delFix","prevFix","nextFix","prevGood","onTarget","inRegion","hook","blink"
"160",1,11,1,32,2915933,2919829,5,NA,891,989,1920,2917909,2917922,296,"ESACC",1,1,776.1,951.1,"Yes","Yes","Yes","No","No"
"161",1,37,1,33,2924488,2929155,1,NA,233,331,373,2924919,2924925,NA,"ESACC",1,8,139.4,223.9,"Yes","No","No","Yes","No"
"162",1,37,1,33,2924488,2929155,2,NA,373,471,513,2925105,2925114,186,"ESACC",1,5,223.9,382.1,"Yes","Yes","Yes","No","No"
"163",1,37,1,33,2924488,2929155,3,NA,513,597,681,2925835,2925858,730,"ESACC",2,-9,397.4,557.4,"Yes","Yes","Yes","No","No"
"164",1,37,1,33,2924488,2929155,4,NA,681,821,877,2926313,2926322,478,"ESACC",2,5,520.6,694.9,"Yes","Yes","Yes","No","No"
"165",1,37,1,33,2924488,2929155,5,NA,877,1003,1920,2926905,2926924,592,"ESACC",1,-5,835.4,951.1,"Yes","Yes","Yes","No","No"
"166",1,1,1,34,2930713,2936172,1,NA,191,289,401,2930964,2926924,NA,"ESACC",1,4054,87.5,188.5,"Yes","No","No","Yes","No"
"167",1,1,1,34,2930713,2936172,2,NA,401,499,555,2931958,2931975,994,"ESACC",1,-3,215.7,351.9,"Yes","No","No","Yes","No"
"168",1,1,1,34,2930713,2936172,3,NA,555,639,737,2933934,2933963,1976,"ESACC",1,-15,483.4,650.8,"Yes","No","Yes","No","No"
"169",1,1,1,34,2930713,2936172,4,NA,737,807,905,2934165,2934174,231,"ESACC",1,5,650.8,795.3,"Yes","Yes","Yes","No","No"
"170",1,1,1,34,2930713,2936172,5,NA,905,1045,1920,2934278,2934310,113,"ESACC",1,-18,795.3,1045.4,"Yes","Yes","Yes","No","No"
"171",1,18,1,35,2941905,2945718,1,NA,149,289,359,2942057,2934310,NA,"ESACC",1,7761,86.3,423.2,"Yes","No","No","No","No"
"172",1,18,1,35,2941905,2945718,2,NA,359,499,555,2942066,2934310,9,"ESACC",1,7770,86.3,423.2,"Yes","Yes","Yes","No","No"
"173",1,18,1,35,2941905,2945718,3,NA,555,723,877,2944181,2944207,2115,"ESACC",1,-12,501.4,622.3,"Yes","Yes","Yes","No","No"
"174",1,18,1,35,2941905,2945718,4,NA,877,961,1003,2944821,2944848,640,"ESACC",1,-13,785.3,1115.5,"Yes","No","No","No","No"
"175",1,18,1,35,2941905,2945718,5,NA,1003,1115,1920,2944828,2944848,7,"ESACC",1,-6,785.3,1115.5,"Yes","No","Yes","No","No"
